epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2304,1.09556,3.15007,1.49555,0.21283,0.41213,0.22222,0.15132,1.08423,2.60815,1.48864,0.000367371,0.000367371,0.000367371
2,94.0282,1.20171,2.62531,1.57154,0.16249,0.37542,0.16302,0.09767,1.35318,2.81708,1.72761,0.000730401,0.000730401,0.000730401
3,135.406,1.23731,2.46189,1.58068,0.18467,0.42199,0.21592,0.13724,1.33268,2.2365,1.7199,0.0010861,0.0010861,0.0010861
4,179.086,1.24143,2.34612,1.6039,0.14957,0.27483,0.1382,0.08483,1.62406,2.67155,1.9365,0.001078,0.001078,0.001078
5,219.353,1.23081,2.20042,1.58538,0.1984,0.51012,0.26472,0.14565,1.51912,2.09163,1.76789,0.001067,0.001067,0.001067
6,262.581,1.21832,2.11687,1.57781,0.21787,0.46196,0.25544,0.16982,1.08333,2.12553,1.50083,0.00105601,0.00105601,0.00105601
7,303.714,1.16756,2.05139,1.52843,0.33252,0.46924,0.35453,0.2274,1.15358,1.97324,1.52128,0.00104501,0.00104501,0.00104501
8,344.591,1.14384,1.97011,1.50775,0.39055,0.43766,0.35669,0.24592,1.01205,1.86694,1.4695,0.00103401,0.00103401,0.00103401
9,387.887,1.12046,1.92283,1.4995,0.40573,0.45278,0.39736,0.28303,1.01685,1.77737,1.42696,0.00102301,0.00102301,0.00102301
10,429.541,1.11246,1.87935,1.48559,0.49737,0.42243,0.39427,0.27777,0.98599,1.88216,1.38054,0.00101201,0.00101201,0.00101201
11,472.381,1.08768,1.8375,1.46351,0.45255,0.52094,0.45621,0.31537,1.03551,1.65256,1.37875,0.00100101,0.00100101,0.00100101
12,513.521,1.0615,1.82532,1.44639,0.4448,0.43731,0.42751,0.29251,1.13906,1.72863,1.47905,0.000990012,0.000990012,0.000990012
13,556.982,1.08064,1.79277,1.46561,0.4123,0.46588,0.45485,0.31739,0.96321,1.72887,1.41178,0.000979013,0.000979013,0.000979013
14,598.738,1.04174,1.75271,1.43481,0.35884,0.57368,0.41886,0.30095,0.90279,1.89231,1.34588,0.000968014,0.000968014,0.000968014
15,639.703,1.02504,1.71062,1.41626,0.49151,0.52225,0.51279,0.39748,0.86424,1.50653,1.29782,0.000957015,0.000957015,0.000957015
16,682.673,0.99487,1.67282,1.39656,0.4593,0.62325,0.53634,0.40581,0.82741,1.44305,1.26981,0.000946016,0.000946016,0.000946016
17,724.253,1.00135,1.66532,1.40713,0.57198,0.60878,0.59109,0.44299,0.9003,1.42546,1.32636,0.000935018,0.000935018,0.000935018
18,767.935,0.98049,1.65389,1.38606,0.37814,0.64091,0.45833,0.34473,0.85051,1.70101,1.27766,0.000924019,0.000924019,0.000924019
19,809.607,0.95727,1.61085,1.38494,0.5555,0.63887,0.61436,0.47196,0.84145,1.34045,1.30522,0.00091302,0.00091302,0.00091302
20,850.874,0.95559,1.58331,1.38223,0.44631,0.57063,0.44527,0.31474,1.08267,1.64947,1.45583,0.000902021,0.000902021,0.000902021
21,895.19,0.97143,1.58674,1.39567,0.55098,0.59977,0.58029,0.43934,0.83081,1.47181,1.27481,0.000891022,0.000891022,0.000891022
22,936.376,0.94912,1.53495,1.37723,0.48964,0.61988,0.53058,0.42739,0.76181,1.53609,1.24493,0.000880023,0.000880023,0.000880023
23,979.137,0.9387,1.5713,1.37336,0.46921,0.57757,0.54537,0.41344,0.81374,1.58397,1.24822,0.000869024,0.000869024,0.000869024
